"","Var1","Var2","Var3","value"
"591",3,1,50,20
"592",1,2,50,6
"593",2,2,50,6
"594",3,2,50,6
"595",1,3,50,2
"596",2,3,50,2
"597",3,3,50,2
"598",1,4,50,2
"599",2,4,50,2
"600",3,4,50,2
"601",1,1,51,34
"602",2,1,51,34
"603",3,1,51,30
"604",1,2,51,4
"605",2,2,51,4
"606",3,2,51,4
"607",1,3,51,2
"608",2,3,51,2
"609",3,3,51,2
"610",1,4,51,3
"611",2,4,51,3
"612",3,4,51,3
"613",1,1,52,48
"614",2,1,52,48
"615",3,1,52,47
"616",1,2,52,6
"617",2,2,52,6
"618",3,2,52,6
"619",1,3,52,4
"620",2,3,52,4
"621",3,3,52,4
"622",1,4,52,1
"623",2,4,52,1
"624",3,4,52,1
"625",1,1,53,14
"626",2,1,53,14
"627",3,1,53,14
"628",1,2,53,7
"629",2,2,53,7
"630",3,2,53,5
"631",1,3,53,3
"632",2,3,53,3
"633",3,3,53,3
"634",1,4,53,2
"635",2,4,53,2
"636",3,4,53,2
"637",1,1,54,22
"638",2,1,54,22
"639",3,1,54,22
"640",1,2,54,6
"641",2,2,54,6
"642",3,2,54,6
"643",1,3,54,3
"644",2,3,54,3
"645",3,3,54,3
"646",1,4,54,2
"647",2,4,54,2
"648",3,4,54,2
"649",1,1,55,20
"650",2,1,55,20
"651",3,1,55,20
"652",1,2,55,6
"653",2,2,55,6
"654",3,2,55,6
"655",1,3,55,3
"656",2,3,55,3
"657",3,3,55,3
"658",1,4,55,2
"659",2,4,55,2
"660",3,4,55,2
"661",1,1,56,22
"662",2,1,56,22
"663",3,1,56,22
"664",1,2,56,10
"665",2,2,56,10
"666",3,2,56,10
"667",1,3,56,2
"668",2,3,56,2
"669",3,3,56,2
"670",1,4,56,2
"671",2,4,56,2
"672",3,4,56,2
"673",1,1,57,30
"674",2,1,57,30
"675",3,1,57,26
"676",1,2,57,8
"677",2,2,57,8
"678",3,2,57,7
"679",1,3,57,3
"680",2,3,57,3
"681",3,3,57,3
"682",1,4,57,2
"683",2,4,57,2
"684",3,4,57,2
"685",1,1,58,15
"686",2,1,58,15
"687",3,1,58,14
"688",1,2,58,8
"689",2,2,58,8
"690",3,2,58,8
"691",1,3,58,4
"692",2,3,58,4
"693",3,3,58,4
"694",1,4,58,2
"695",2,4,58,2
"696",3,4,58,2
"697",1,1,59,32
"698",2,1,59,32
"699",3,1,59,32
"700",1,2,59,4
"701",2,2,59,4
"702",3,2,59,4
"703",1,3,59,2
"704",2,3,59,2
"705",3,3,59,2
"706",1,4,59,2
"707",2,4,59,2
"708",3,4,59,2
"709",1,1,60,13
"710",2,1,60,13
"711",3,1,60,13
"712",1,2,60,9
"713",2,2,60,9
"714",3,2,60,9
"715",1,3,60,5
"716",2,3,60,5
"717",3,3,60,5
"718",1,4,60,2
"719",2,4,60,2
"720",3,4,60,2
"721",1,1,61,16
"722",2,1,61,16
