"","Var1","Var2","Var3","Var4","value"
"592",1,3,3,22,21
"593",2,3,3,22,21
"594",3,3,3,22,21
"595",1,1,1,23,428
"596",2,1,1,23,428
"597",3,1,1,23,428
"598",1,2,1,23,194
"599",2,2,1,23,194
"600",3,2,1,23,194
"601",1,3,1,23,501
"602",2,3,1,23,501
"603",3,3,1,23,501
"604",1,1,2,23,60
"605",2,1,2,23,60
"606",3,1,2,23,60
"607",1,2,2,23,75
"608",2,2,2,23,75
"609",3,2,2,23,75
"610",1,3,2,23,52
"611",2,3,2,23,52
"612",3,3,2,23,52
"613",1,1,3,23,15
"614",2,1,3,23,15
"615",3,1,3,23,15
"616",1,2,3,23,18
"617",2,2,3,23,18
"618",3,2,3,23,18
"619",1,3,3,23,18
"620",2,3,3,23,18
"621",3,3,3,23,22
"622",1,1,1,24,57
"623",2,1,1,24,57
"624",3,1,1,24,57
"625",1,2,1,24,187
"626",2,2,1,24,187
"627",3,2,1,24,187
"628",1,3,1,24,167
"629",2,3,1,24,167
"630",3,3,1,24,167
"631",1,1,2,24,57
"632",2,1,2,24,57
"633",3,1,2,24,68
"634",1,2,2,24,50
"635",2,2,2,24,50
"636",3,2,2,24,50
"637",1,3,2,24,17
"638",2,3,2,24,17
"639",3,3,2,24,17
"640",1,1,3,24,20
"641",2,1,3,24,20
"642",3,1,3,24,20
"643",1,2,3,24,25
"644",2,2,3,24,25
"645",3,2,3,24,25
"646",1,3,3,24,18
"647",2,3,3,24,18
"648",3,3,3,24,18
"649",1,1,1,25,236
"650",2,1,1,25,236
"651",3,1,1,25,236
"652",1,2,1,25,486
"653",2,2,1,25,486
"654",3,2,1,25,486
"655",1,3,1,25,78
"656",2,3,1,25,78
"657",3,3,1,25,78
"658",1,1,2,25,50
"659",2,1,2,25,67
"660",3,1,2,25,71
"661",1,2,2,25,104
"662",2,2,2,25,104
"663",3,2,2,25,104
"664",1,3,2,25,27
"665",2,3,2,25,27
"666",3,3,2,25,27
"667",1,1,3,25,22
"668",2,1,3,25,22
"669",3,1,3,25,22
"670",1,2,3,25,28
"671",2,2,3,25,28
"672",3,2,3,25,29
"673",1,3,3,25,27
"674",2,3,3,25,27
"675",3,3,3,25,27
"676",1,1,1,26,379
"677",2,1,1,26,380
"678",3,1,1,26,380
"679",1,2,1,26,281
"680",2,2,1,26,281
"681",3,2,1,26,281
"682",1,3,1,26,259
"683",2,3,1,26,259
"684",3,3,1,26,259
"685",1,1,2,26,37
"686",2,1,2,26,37
"687",3,1,2,26,37
"688",1,2,2,26,35
"689",2,2,2,26,35
"690",3,2,2,26,35
"691",1,3,2,26,121
"692",2,3,2,26,121
"693",3,3,2,26,121
"694",1,1,3,26,19
"695",2,1,3,26,19
"696",3,1,3,26,19
"697",1,2,3,26,19
"698",2,2,3,26,19
"699",3,2,3,26,19
"700",1,3,3,26,18
"701",2,3,3,26,19
"702",3,3,3,26,19
"703",1,1,1,27,170
"704",2,1,1,27,170
"705",3,1,1,27,170
"706",1,2,1,27,471
"707",2,2,1,27,471
"708",3,2,1,27,471
"709",1,3,1,27,362
"710",2,3,1,27,362
"711",3,3,1,27,362
"712",1,1,2,27,91
"713",2,1,2,27,91
"714",3,1,2,27,91
"715",1,2,2,27,50
"716",2,2,2,27,50
"717",3,2,2,27,51
"718",1,3,2,27,97
"719",2,3,2,27,97
"720",3,3,2,27,97
"721",1,1,3,27,32
"722",2,1,3,27,32
"723",3,1,3,27,32
"724",1,2,3,27,25
"725",2,2,3,27,25
"726",3,2,3,27,25
"727",1,3,3,27,27
"728",2,3,3,27,27
"729",3,3,3,27,27
"730",1,1,1,28,296
"731",2,1,1,28,296
"732",3,1,1,28,296
"733",1,2,1,28,306
"734",2,2,1,28,306
"735",3,2,1,28,306
"736",1,3,1,28,114
"737",2,3,1,28,114
"738",3,3,1,28,114
"739",1,1,2,28,16
"740",2,1,2,28,16
"741",3,1,2,28,16
"742",1,2,2,28,46
"743",2,2,2,28,46
"744",3,2,2,28,46
"745",1,3,2,28,37
"746",2,3,2,28,37
"747",3,3,2,28,37
"748",1,1,3,28,13
"749",2,1,3,28,13
"750",3,1,3,28,13
"751",1,2,3,28,17
"752",2,2,3,28,18
"753",3,2,3,28,18
"754",1,3,3,28,30
"755",2,3,3,28,30
"756",3,3,3,28,30
"757",1,1,1,29,111
"758",2,1,1,29,113
"759",3,1,1,29,113
"760",1,2,1,29,62
"761",2,2,1,29,62
"762",3,2,1,29,62
"763",1,3,1,29,480
"764",2,3,1,29,480
"765",3,3,1,29,480
"766",1,1,2,29,47
"767",2,1,2,29,47
"768",3,1,2,29,48
"769",1,2,2,29,54
"770",2,2,2,29,54
"771",3,2,2,29,54
"772",1,3,2,29,57
"773",2,3,2,29,57
"774",3,3,2,29,57
"775",1,1,3,29,36
"776",2,1,3,29,37
"777",3,1,3,29,37
"778",1,2,3,29,24
"779",2,2,3,29,24
"780",3,2,3,29,25
"781",1,3,3,29,15
"782",2,3,3,29,15
"783",3,3,3,29,15
"784",1,1,1,30,456
"785",2,1,1,30,456
"786",3,1,1,30,456
"787",1,2,1,30,397
"788",2,2,1,30,397
"789",3,2,1,30,397
"790",1,3,1,30,298
"791",2,3,1,30,298
"792",3,3,1,30,298
"793",1,1,2,30,69
"794",2,1,2,30,69
"795",3,1,2,30,70
"796",1,2,2,30,64
"797",2,2,2,30,64
"798",3,2,2,30,64
"799",1,3,2,30,63
"800",2,3,2,30,63
"801",3,3,2,30,63
"802",1,1,3,30,24
"803",2,1,3,30,24
"804",3,1,3,30,24
"805",1,2,3,30,14
"806",2,2,3,30,14
"807",3,2,3,30,14
"808",1,3,3,30,32
"809",2,3,3,30,32
"810",3,3,3,30,32
"811",1,1,1,31,231
"812",2,1,1,31,231
"813",3,1,1,31,231
"814",1,2,1,31,219
"815",2,2,1,31,219
"816",3,2,1,31,219
"817",1,3,1,31,206
"818",2,3,1,31,206
"819",3,3,1,31,206
"820",1,1,2,31,96
"821",2,1,2,31,76
"822",3,1,2,31,96
"823",1,2,2,31,46
"824",2,2,2,31,46
"825",3,2,2,31,46
"826",1,3,2,31,83
"827",2,3,2,31,83
"828",3,3,2,31,83
"829",1,1,3,31,33
"830",2,1,3,31,33
"831",3,1,3,31,33
"832",1,2,3,31,26
"833",2,2,3,31,26
"834",3,2,3,31,26
"835",1,3,3,31,21
